layer,neuron,change_score
31,12732,1884.2501220703125
31,8717,1230.85009765625
31,5463,961.7166137695312
31,12278,175.57545471191406
30,3342,30.445816040039062
30,2730,27.04181671142578
31,12111,26.638837814331055
30,10408,20.88261604309082
31,7000,19.329914093017578
31,207,17.55333709716797
31,1209,14.948046684265137
30,13679,11.98206901550293
31,2398,11.386933326721191
31,14201,9.935684204101562
31,13336,9.436311721801758
31,1159,9.113429069519043
30,840,7.84269380569458
31,2836,7.222025394439697
31,5975,7.057464122772217
31,8359,6.447824478149414
30,11920,6.405736923217773
30,11430,6.1766533851623535
31,9575,6.118232250213623
31,12004,5.768736362457275
31,9416,5.665580749511719
30,12395,5.404497146606445
30,10321,5.356231689453125
31,1674,5.32789421081543
30,7305,5.140021800994873
31,14224,4.738062381744385
31,801,4.553348541259766
31,13869,4.459525108337402
31,850,4.434319019317627
31,311,4.414364814758301
31,12185,4.389926910400391
31,6466,4.3890790939331055
30,6989,4.249697208404541
31,2958,4.209672451019287
31,7861,4.189889430999756
30,6663,4.183096885681152
31,2564,4.16143274307251
30,5442,4.107808589935303
31,4873,4.0515546798706055
29,12657,4.035784721374512
31,5919,3.9091362953186035
31,6352,3.8516347408294678
29,664,3.76902437210083
31,1940,3.7458221912384033
31,5966,3.7423624992370605
31,14196,3.679988145828247
31,12298,3.673950672149658
29,14165,3.6734423637390137
31,14027,3.5886919498443604
31,2477,3.54921555519104
31,12814,3.5470187664031982
31,11817,3.5093719959259033
30,7674,3.4918742179870605
31,10850,3.4730656147003174
30,2815,3.472350597381592
30,5024,3.4394516944885254
31,3474,3.3812108039855957
31,4581,3.3582539558410645
31,8583,3.349684238433838
31,2549,3.313448429107666
29,11929,3.28216552734375
31,2474,3.238095998764038
31,9187,3.2021729946136475
30,2306,3.1971492767333984
31,847,3.1204776763916016
31,7429,3.099091053009033
31,8959,3.0944020748138428
31,1186,3.08831524848938
31,10669,3.048007011413574
31,1095,3.037696599960327
31,997,3.030366897583008
30,458,3.008227586746216
31,1395,2.9694104194641113
31,2115,2.921687602996826
31,8118,2.914961099624634
31,1834,2.900575637817383
31,3387,2.882481098175049
31,9729,2.88077712059021
31,6696,2.8636364936828613
31,5230,2.8593621253967285
31,10129,2.856658697128296
31,7727,2.8542964458465576
31,5540,2.850329637527466
31,14106,2.841193437576294
31,9620,2.8077340126037598
31,4512,2.8064351081848145
31,8861,2.7835044860839844
31,8350,2.756920576095581
31,10100,2.754594326019287
30,12903,2.7521474361419678
31,10471,2.71887469291687
31,2046,2.7132792472839355
31,1919,2.7116949558258057
31,10803,2.7092220783233643
31,11243,2.7085845470428467
31,13038,2.701129913330078
31,7124,2.698845148086548
31,4560,2.6988117694854736
31,4352,2.6883654594421387
31,9825,2.677014112472534
31,4790,2.658698797225952
31,12839,2.642505168914795
31,1000,2.634167432785034
31,12968,2.6278791427612305
